player_id,team,position,ht_wt,birthdate,college,draft_info,status,experience,birthplace
3975,Golden State Warriors,Point Guard,"6' 2"", 185 lbs",3/14/1988 (35),Davidson,"2009: Rd 1, Pk 7 (GS)",Active,13th Season,"Akron, OH"
1966,Los Angeles Lakers,Small Forward,"6' 9"", 250 lbs",12/30/1984 (38),,"2003: Rd 1, Pk 1 (CLE)",Active,19th Season,"Akron, OH"
3202,Phoenix Suns,Power Forward,"6' 10"", 240 lbs",9/29/1988 (34),Texas,"2007: Rd 1, Pk 2 (SEA)",Active,14th Season,"Suitland, MD"
6580,Phoenix Suns,Shooting Guard,"6' 4"", 207 lbs",6/28/1993 (30),Florida,"2012: Rd 1, Pk 3 (WSH)",Active,10th Season,"Saint Louis, MO"
6606,Portland Trail Blazers,Point Guard,"6' 2"", 195 lbs",7/15/1990 (32),Weber St,"2012: Rd 1, Pk 6 (POR)",Active,9th Season,"Oakland, CA"
3032977,Milwaukee Bucks,Power Forward,"6' 11"", 243 lbs",12/6/1994 (28),,"2013: Rd 1, Pk 15 (MIL)",Active,9th Season,"Athens, Greece"
6450,LA Clippers,Small Forward,"6' 7"", 225 lbs",6/29/1991 (32),San Diego St,"2011: Rd 1, Pk 15 (IND)",Game Time Decision,10th Season,"Los Angeles, CA"
4251,LA Clippers,Forward,"6' 8"", 220 lbs",5/2/1990 (33),Fresno St,"2010: Rd 1, Pk 10 (IND)",Game Time Decision,12th Season,"Palmdale, CA"
6475,Golden State Warriors,Shooting Guard,"6' 6"", 220 lbs",2/8/1990 (33),Washington St,"2011: Rd 1, Pk 11 (GS)",Active,9th Season,"Los Angeles, CA"
6442,Dallas Mavericks,Point Guard,"6' 2"", 195 lbs",3/23/1992 (31),Duke,"2011: Rd 1, Pk 1 (CLE)",Active,11th Season,"Melbourne, VIC"
3032976,Minnesota Timberwolves,Center,"7' 1"", 258 lbs",6/26/1992 (31),,"2013: Rd 1, Pk 27 (DEN)",Active,9th Season,France
6583,Los Angeles Lakers,Power Forward,"6' 10"", 253 lbs",3/11/1993 (30),Kentucky,"2012: Rd 1, Pk 1 (NO)",Active,10th Season,"Chicago, IL"
6609,Milwaukee Bucks,Small Forward,"6' 7"", 222 lbs",8/12/1991 (31),Texas A&M,"2012: Rd 2, Pk 39 (DET)",Active,10th Season,"Charleston, SC"
6430,Miami Heat,Small Forward,"6' 7"", 230 lbs",9/14/1989 (33),Marquette,"2011: Rd 1, Pk 30 (CHI)",Active,11th Season,"Houston, TX"
6440,Philadelphia 76ers,Power Forward,"6' 7"", 226 lbs",7/15/1992 (30),Tennessee,"2011: Rd 1, Pk 19 (CHA)",Active,11th Season,"Dix Hills, NY"
3064440,Chicago Bulls,Shooting Guard,"6' 5"", 200 lbs",3/10/1995 (28),UCLA,"2014: Rd 1, Pk 13 (MIN)",Active,8th Season,"Seattle, WA"
3945274,Dallas Mavericks,Point Guard,"6' 7"", 230 lbs",2/28/1999 (24),,"2018: Rd 1, Pk 3 (ATL)",Active,5th Season,"Ljubljana, Slovenia"
4277905,Atlanta Hawks,Point Guard,"6' 1"", 164 lbs",9/19/1998 (24),Oklahoma,"2018: Rd 1, Pk 5 (DAL)",Active,4th Season,"Lubbock, TX"
3149673,Toronto Raptors,Power Forward,"6' 8"", 230 lbs",4/2/1994 (29),New Mexico St,"2016: Rd 1, Pk 27 (TOR)",Active,6th Season,"Douala, Cameroon"
3907387,Brooklyn Nets,Point Guard,"6' 10"", 240 lbs",7/20/1996 (26),LSU,"2016: Rd 1, Pk 1 (PHI)",Game Time Decision,4th Season,"Melbourne, VIC"
3133628,Indiana Pacers,Center,"6' 11"", 250 lbs",3/24/1996 (27),Texas,"2015: Rd 1, Pk 11 (IND)",Active,7th Season,"Bedford, TX"
3136193,Phoenix Suns,Shooting Guard,"6' 5"", 206 lbs",10/30/1996 (26),Kentucky,"2015: Rd 1, Pk 13 (PHX)",Active,7th Season,"Grand Rapids, MI"
3136195,Minnesota Timberwolves,Center,"7' 0"", 248 lbs",11/15/1995 (27),Kentucky,"2015: Rd 1, Pk 1 (MIN)",Active,7th Season,"Edison, NJ"
3102531,Boston Celtics,Center,"7' 3"", 240 lbs",8/2/1995 (27),,"2015: Rd 1, Pk 4 (NY)",Active,6th Season,"Liepaja, Latvia"
3995,Milwaukee Bucks,Point Guard,"6' 4"", 205 lbs",6/12/1990 (33),UCLA,"2009: Rd 1, Pk 17 (PHI)",Active,13th Season,"Chatsworth, CA"
3059318,Philadelphia 76ers,Center,"7' 0"", 280 lbs",3/16/1994 (29),Kansas,"2014: Rd 1, Pk 3 (PHI)",Active,6th Season,"Yaounde, Cameroon"
3059319,Golden State Warriors,Small Forward,"6' 7"", 197 lbs",2/23/1995 (28),Kansas,"2014: Rd 1, Pk 1 (CLE)",Active,8th Season,"Thornhill, ON"
2490149,New Orleans Pelicans,Shooting Guard,"6' 3"", 190 lbs",9/19/1991 (31),Lehigh,"2013: Rd 1, Pk 10 (POR)",Game Time Decision,9th Season,"Canton, OH"
3112335,Denver Nuggets,Center,"6' 11"", 284 lbs",2/19/1995 (28),,"2014: Rd 2, Pk 41 (DEN)",Active,7th Season,"Sombor, Serbia"
3992,Philadelphia 76ers,Shooting Guard,"6' 5"", 220 lbs",8/26/1989 (33),Arizona St,"2009: Rd 1, Pk 3 (OKC)",Active,13th Season,"Los Angeles, CA"
3913176,New Orleans Pelicans,Small Forward,"6' 8"", 190 lbs",9/2/1997 (25),Duke,"2016: Rd 1, Pk 2 (LAL)",Active,6th Season,"Kinston, NC"
3936299,Denver Nuggets,Point Guard,"6' 4"", 215 lbs",2/23/1997 (26),Kentucky,"2016: Rd 1, Pk 7 (DEN)",Active,5th Season,"Kitchener, ON"
3136776,Los Angeles Lakers,Point Guard,"6' 4"", 193 lbs",2/23/1996 (27),Ohio State,"2015: Rd 1, Pk 2 (LAL)",Active,7th Season,"Louisville, KY"
4278073,Oklahoma City Thunder,Point Guard,"6' 6"", 195 lbs",7/12/1998 (24),Kentucky,"2018: Rd 1, Pk 11 (CHA)",Active,4th Season,"Toronto, ON"
4278129,Phoenix Suns,Center,"7' 0"", 250 lbs",7/23/1998 (24),Arizona,"2018: Rd 1, Pk 1 (PHX)",Game Time Decision,4th Season,"Nassau, Bahamas"
4278104,Denver Nuggets,Small Forward,"6' 10"", 218 lbs",6/29/1998 (25),Missouri,"2018: Rd 1, Pk 14 (DEN)",Active,3rd Season,"Columbia, MO"
3908809,Cleveland Cavaliers,Shooting Guard,"6' 1"", 215 lbs",9/7/1996 (26),Louisville,"2017: Rd 1, Pk 13 (DEN)",Active,5th Season,"Greenwich, CT"
4066261,Miami Heat,Center,"6' 9"", 255 lbs",7/18/1997 (25),Kentucky,"2017: Rd 1, Pk 14 (MIA)",Active,5th Season,"Newark, NJ"
4249,Charlotte Hornets,Small Forward,"6' 7"", 225 lbs",3/23/1990 (33),Butler,"2010: Rd 1, Pk 9 (UTAH)",Active,12th Season,"Brownsburg, IN"
4277961,Memphis Grizzlies,Power Forward,"6' 11"", 242 lbs",9/15/1999 (23),Michigan St,"2018: Rd 1, Pk 4 (MEM)",Active,4th Season,"Plainfield, NJ"
3917376,Boston Celtics,Shooting Guard,"6' 6"", 223 lbs",10/24/1996 (26),California,"2016: Rd 1, Pk 3 (BOS)",Active,6th Season,"Marietta, GA"
2779,Washington Wizards,Point Guard,"6' 0"", 175 lbs",5/6/1985 (38),Wake Forest,"2005: Rd 1, Pk 4 (NO)",Game Time Decision,17th Season,"Winston-Salem, NC"
3012,Miami Heat,Point Guard,"6' 0"", 196 lbs",3/25/1986 (37),Villanova,"2006: Rd 1, Pk 24 (MEM)",Active,16th Season,"Philadelphia, PA"
4066259,Sacramento Kings,Point Guard,"6' 3"", 185 lbs",12/20/1997 (25),Kentucky,"2017: Rd 1, Pk 5 (SAC)",Active,5th Season,"Houston, TX"
4065648,Boston Celtics,Small Forward,"6' 8"", 210 lbs",3/3/1998 (25),Duke,"2017: Rd 1, Pk 3 (BOS)",Active,5th Season,"Saint Louis, MO"
3934672,New York Knicks,Point Guard,"6' 1"", 190 lbs",8/31/1996 (26),Villanova,"2018: Rd 2, Pk 33 (DAL)",Active,4th Season,"New Brunswick, NJ"
3978,Chicago Bulls,Small Forward,"6' 6"", 220 lbs",8/7/1989 (33),USC,"2009: Rd 1, Pk 9 (TOR)",Active,13th Season,"Compton, CA"
3213,Boston Celtics,Center,"6' 9"", 240 lbs",6/3/1986 (37),Florida,"2007: Rd 1, Pk 3 (ATL)",Active,15th Season,"Puerto Plata, Dominican Republic"
6589,Golden State Warriors,Power Forward,"6' 6"", 230 lbs",3/4/1990 (33),Michigan St,"2012: Rd 2, Pk 35 (GS)",Active,10th Season,"Saginaw, MI"
3064514,New York Knicks,Power Forward,"6' 8"", 250 lbs",11/29/1994 (28),Kentucky,"2014: Rd 1, Pk 7 (LAL)",Game Time Decision,8th Season,"Dallas, TX"
3908845,Atlanta Hawks,Power Forward,"6' 9"", 226 lbs",9/23/1997 (25),Wake Forest,"2017: Rd 1, Pk 19 (ATL)",Active,5th Season,"West Palm Beach, FL"
2990984,Indiana Pacers,Shooting Guard,"6' 4"", 220 lbs",12/17/1992 (30),Oklahoma,"2016: Rd 1, Pk 6 (NO)",Active,6th Season,"Freeport, GB"
3195,Minnesota Timberwolves,Point Guard,"6' 1"", 175 lbs",10/11/1987 (35),Ohio State,"2007: Rd 1, Pk 4 (MEM)",Active,15th Season,"Indianapolis, IN"
2566769,Boston Celtics,Point Guard,"6' 4"", 229 lbs",12/11/1992 (30),Virginia,"2016: Rd 2, Pk 36 (MIL)",Game Time Decision,6th Season,"Atlanta, GA"
4351851,Portland Trail Blazers,Shooting Guard,"6' 3"", 181 lbs",6/8/1999 (24),,"2018: Rd 1, Pk 24 (POR)",Active,3rd Season,"Altamonte Springs, FL"
6478,Chicago Bulls,Center,"6' 10"", 260 lbs",10/24/1990 (32),USC,"2011: Rd 1, Pk 16 (PHI)",Active,11th Season,"Simi Valley, CA"
3074752,Charlotte Hornets,Shooting Guard,"6' 1"", 190 lbs",3/17/1994 (29),Louisville,"2015: Rd 1, Pk 16 (BOS)",Game Time Decision,7th Season,"Youngstown, OH"
2991230,Houston Rockets,Shooting Guard,"6' 0"", 197 lbs",2/25/1994 (29),Wichita St,,Active,6th Season,"Rockford, IL"
2991070,Portland Trail Blazers,Small Forward,"6' 8"", 210 lbs",3/12/1994 (29),Syracuse,"2014: Rd 2, Pk 39 (PHI)",Active,7th Season,"Portland, OR"
3147657,Brooklyn Nets,Small Forward,"6' 6"", 209 lbs",8/30/1996 (26),Villanova,"2018: Rd 1, Pk 10 (PHI)",Active,4th Season,"Malvern, PA"
4066328,Cleveland Cavaliers,Center,"6' 9"", 243 lbs",4/21/1998 (25),Texas,"2017: Rd 1, Pk 22 (BKN)",Active,5th Season,"Round Rock, TX"
3064290,Denver Nuggets,Power Forward,"6' 8"", 235 lbs",9/16/1995 (27),Arizona,"2014: Rd 1, Pk 4 (ORL)",Active,8th Season,"San Jose, CA"
2528210,Dallas Mavericks,Small Forward,"6' 5"", 205 lbs",3/16/1992 (31),Michigan,"2013: Rd 1, Pk 24 (NY)",Active,9th Season,"Alameda, CA"
3593,Detroit Pistons,Small Forward,"6' 7"", 226 lbs",4/18/1989 (34),,"2011: Rd 2, Pk 31 (MIA)",Active,8th Season,Yugoslavia
4066421,Chicago Bulls,Point Guard,"6' 6"", 190 lbs",10/27/1997 (25),UCLA,"2017: Rd 1, Pk 2 (LAL)",Out,5th Season,"Chino Hills, CA"
2580782,Brooklyn Nets,Point Guard,"6' 6"", 215 lbs",4/6/1993 (30),Colorado,"2014: Rd 2, Pk 38 (DET)",Active,8th Season,"Woodland Hills, CA"
4238,,Shooting Guard,,12/9/1989,Kentucky,"2010: Rd 1, Pk 18 (OKC)",,,"Birmingham, AL"
2991043,Cleveland Cavaliers,Shooting Guard,"6' 6"", 205 lbs",8/25/1994 (28),Michigan,"2016: Rd 1, Pk 20 (IND)",Active,6th Season,"Pickerington, OH"
3102529,Atlanta Hawks,Center,"6' 10"", 256 lbs",5/18/1994 (29),,"2014: Rd 1, Pk 25 (HOU)",Active,8th Season,"Geneva, Switzerland"
2528794,Brooklyn Nets,Small Forward,"6' 6"", 220 lbs",9/6/1991 (31),Virginia,"2014: Rd 2, Pk 33 (CLE)",Active,8th Season,"Chelan, WA"
3155942,Sacramento Kings,Power Forward,"7' 0"", 240 lbs",5/3/1996 (27),Gonzaga,"2016: Rd 1, Pk 11 (ORL)",Game Time Decision,6th Season,"Kaunas, Lithuania"
6578,Sacramento Kings,Small Forward,"6' 8"", 225 lbs",5/30/1992 (31),North Carolina,"2012: Rd 1, Pk 7 (GS)",Active,10th Season,"Ames, IA"
6588,New York Knicks,Shooting Guard,"6' 6"", 205 lbs",10/29/1992 (30),,"2012: Rd 1, Pk 20 (DEN)",Active,10th Season,France
3037789,Atlanta Hawks,Shooting Guard,"6' 5"", 225 lbs",8/18/1992 (30),,"2014: Rd 1, Pk 27 (PHX)",Active,5th Season,"Belgrade, Serbia"
2991235,Memphis Grizzlies,Center,"6' 11"", 265 lbs",7/20/1993 (29),Pitt,"2013: Rd 1, Pk 12 (OKC)",Game Time Decision,9th Season,"Rotorua, New Zealand"
4277843,Toronto Raptors,Shooting Guard,"6' 5"", 209 lbs",1/18/1999 (24),Duke,"2018: Rd 2, Pk 37 (SAC)",Active,4th Season,"Columbus, OH"
4065654,Orlando Magic,Power Forward,"6' 10"", 230 lbs",10/3/1997 (25),Florida St,"2017: Rd 1, Pk 6 (ORL)",Game Time Decision,3rd Season,"Naples, FL"
3934719,Toronto Raptors,Small Forward,"6' 7"", 232 lbs",7/17/1997 (25),Indiana,"2017: Rd 1, Pk 23 (TOR)",Active,5th Season,"Jefferson City, MO"
2990992,Memphis Grizzlies,Point Guard,"6' 4"", 220 lbs",3/6/1994 (29),Oklahoma St,"2014: Rd 1, Pk 6 (BOS)",Active,8th Season,"Flower Mound, TX"
4351852,New York Knicks,Center,"7' 0"", 240 lbs",4/1/1998 (25),,"2018: Rd 2, Pk 36 (NY)",Active,4th Season,"Pensacola, FL"
3157465,Miami Heat,Forward,"6' 7"", 215 lbs",4/22/1994 (29),Michigan,,Active,4th Season,"York, ME"
3078576,Boston Celtics,Point Guard,"6' 4"", 190 lbs",7/2/1994 (28),Colorado,"2017: Rd 1, Pk 29 (SA)",Active,5th Season,"Parker, CO"
2595516,LA Clippers,Guard,"6' 3"", 215 lbs",5/25/1993 (30),UCLA,"2015: Rd 2, Pk 46 (MIL)",Active,7th Season,"San Diego, CA"
3907497,Atlanta Hawks,Shooting Guard,"6' 5"", 180 lbs",9/19/1996 (26),Washington,"2016: Rd 1, Pk 29 (SA)",Active,5th Season,"Seattle, WA"
4277811,Utah Jazz,Point Guard,"6' 2"", 190 lbs",1/4/1999 (24),Alabama,"2018: Rd 1, Pk 8 (CLE)",Active,4th Season,"Marietta, GA"
4066636,Orlando Magic,Point Guard,"6' 4"", 209 lbs",5/29/1998 (25),Washington,"2017: Rd 1, Pk 1 (PHI)",Active,5th Season,"Upper Marlboro, MD"
4066336,Utah Jazz,Power Forward,"7' 0"", 240 lbs",5/22/1997 (26),Arizona,"2017: Rd 1, Pk 7 (MIN)",Active,5th Season,"Jyvaskyla, Finland"
6462,LA Clippers,Small Forward,"6' 8"", 218 lbs",9/2/1989 (33),Kansas,"2011: Rd 1, Pk 14 (HOU)",Active,11th Season,"Philadelphia, PA"
6426,Oklahoma City Thunder,Small Forward,"6' 10"", 225 lbs",11/12/1992 (30),,"2011: Rd 2, Pk 42 (IND)",Active,6th Season,Latvia
3102530,Portland Trail Blazers,Center,"7' 0"", 290 lbs",8/23/1994 (28),,"2014: Rd 1, Pk 16 (CHI)",Active,7th Season,"Tuzla, Bosnia & Herzegovina"
3907822,Los Angeles Lakers,Shooting Guard,"6' 4"", 187 lbs",11/26/1996 (26),Florida St,"2016: Rd 1, Pk 19 (DEN)",Active,6th Season,"Atlanta, GA"
4397020,Oklahoma City Thunder,Guard,"6' 4"", 220 lbs",4/19/1999 (24),Arizona St,,Active,3rd Season,"Montreal, PQ"
6477,New Orleans Pelicans,Center,"6' 11"", 265 lbs",5/6/1992 (31),,"2011: Rd 1, Pk 5 (TOR)",Active,10th Season,"Utena, Lithuania"
4066372,Sacramento Kings,Shooting Guard,"6' 7"", 198 lbs",8/27/1998 (24),Maryland,"2018: Rd 1, Pk 19 (ATL)",Active,4th Season,"Albany, NY"
3913174,Memphis Grizzlies,Shooting Guard,"6' 5"", 206 lbs",6/24/1996 (27),Duke,"2017: Rd 1, Pk 12 (DET)",Game Time Decision,5th Season,"Middletown, OH"
3058254,Dallas Mavericks,Forward,"6' 9"", 214 lbs",9/27/1995 (27),UNLV,,Active,6th Season,"Palmdale, CA"
4277847,Orlando Magic,Center,"6' 10"", 270 lbs",4/16/1999 (24),Duke,"2018: Rd 1, Pk 7 (CHI)",Active,4th Season,"Atlanta, GA"
2581018,Denver Nuggets,Shooting Guard,"6' 5"", 204 lbs",2/18/1993 (30),Georgia,"2013: Rd 1, Pk 8 (DET)",Active,9th Season,"Thomaston, GA"
3448,Milwaukee Bucks,Center,"7' 0"", 282 lbs",4/1/1988 (35),Stanford,"2008: Rd 1, Pk 10 (NJ)",Active,14th Season,"North Hollywood, CA"
2528588,San Antonio Spurs,Small Forward,"6' 6"", 225 lbs",1/3/1992 (31),Creighton,"2014: Rd 1, Pk 11 (DEN)",Active,8th Season,"Grand Forks, ND"
4395628,New Orleans Pelicans,Power Forward,"6' 6"", 284 lbs",7/6/2000 (22),Duke,"2019: Rd 1, Pk 1 (NO)",Game Time Decision,2nd Season,"Salisbury, NC"
2528426,Utah Jazz,Point Guard,"6' 5"", 194 lbs",6/7/1992 (31),Missouri,"2014: Rd 2, Pk 46 (WSH)",Active,8th Season,"San Antonio, TX"
3134907,Washington Wizards,Small Forward,"6' 9"", 221 lbs",7/24/1995 (27),Utah,"2017: Rd 1, Pk 27 (BKN)",Active,5th Season,"Flint, MI"
2999547,Orlando Magic,Shooting Guard,"6' 4"", 210 lbs",9/14/1994 (28),Michigan St,"2014: Rd 1, Pk 19 (CHI)",Active,8th Season,"Fishers, IN"
3062679,New York Knicks,Shooting Guard,"6' 4"", 215 lbs",3/6/1995 (28),Villanova,"2017: Rd 1, Pk 30 (UTAH)",Active,5th Season,"Silver Spring, MD"
2578185,Brooklyn Nets,Power Forward,"6' 7"", 220 lbs",5/4/1993 (30),Florida,,Game Time Decision,6th Season,"Portsmouth, VA"
3948153,Toronto Raptors,Power Forward,"6' 9"", 200 lbs",1/11/1993 (30),Oregon,,Active,5th Season,"Montreal, PQ"
3133603,Charlotte Hornets,Shooting Guard,"6' 6"", 203 lbs",12/9/1995 (27),Kansas,"2015: Rd 1, Pk 15 (ATL)",Game Time Decision,7th Season,"Henderson, NV"
4277848,Detroit Pistons,Power Forward,"6' 10"", 235 lbs",3/14/1999 (24),Duke,"2018: Rd 1, Pk 2 (SAC)",Active,4th Season,"Phoenix, AZ"
2490620,LA Clippers,Power Forward,"6' 7"", 209 lbs",12/14/1990 (32),Tennessee St,,Active,9th Season,"Bellwood, IL"
2489663,Utah Jazz,Power Forward,"6' 11"", 240 lbs",4/19/1991 (32),Gonzaga,"2013: Rd 1, Pk 13 (DAL)",Active,9th Season,"Toronto, ON"
2581190,Miami Heat,Shooting Guard,"6' 6"", 200 lbs",9/15/1993 (29),Tennessee,"2015: Rd 2, Pk 40 (MIA)",Active,7th Season,"Edmond, OK"
3133601,San Antonio Spurs,Point Guard,"6' 1"", 195 lbs",2/22/1995 (28),Kansas,"2018: Rd 2, Pk 34 (ATL)",Active,4th Season,"Raleigh, NC"
3155526,Memphis Grizzlies,Small Forward,"6' 7"", 225 lbs",1/22/1996 (27),Oregon,"2017: Rd 2, Pk 45 (HOU)",Active,5th Season,"Mississauga, ON"
2993370,Dallas Mavericks,Forward,"6' 9"", 235 lbs",10/15/1993 (29),Bowling Green,"2015: Rd 2, Pk 37 (PHI)",Active,7th Season,"Lockport, IL"
2531367,Dallas Mavericks,Center,"6' 10"", 240 lbs",7/20/1991 (31),Stanford,"2014: Rd 2, Pk 45 (CHA)",Active,8th Season,"Toronto, ON"
4432573,Orlando Magic,Power Forward,"6' 10"", 250 lbs",11/12/2002 (20),Duke,"2022: Rd 1, Pk 1 (ORL)",Active,Rookie,"Seattle, WA"
4066211,Boston Celtics,Center,"6' 9"", 237 lbs",10/17/1997 (25),Texas A&M,"2018: Rd 1, Pk 27 (BOS)",Active,4th Season,"Shreveport, LA"
4395625,New York Knicks,Shooting Guard,"6' 6"", 214 lbs",6/14/2000 (23),Duke,"2019: Rd 1, Pk 3 (NY)",Active,3rd Season,"Toronto, ON"
3064482,Milwaukee Bucks,Forward,"6' 10"", 250 lbs",2/10/1995 (28),Arkansas,"2015: Rd 1, Pk 22 (CHI)",Active,7th Season,"Little Rock, AR"
3416,LA Clippers,Power Forward,"6' 8"", 230 lbs",12/14/1988 (34),,"2008: Rd 1, Pk 25 (HOU)",Active,14th Season,"Lisieux, France"
4594268,Minnesota Timberwolves,Shooting Guard,"6' 4"", 225 lbs",8/5/2001 (21),Georgia,"2020: Rd 1, Pk 1 (MIN)",Active,2nd Season,"Atlanta, GA"
4432166,Detroit Pistons,Point Guard,"6' 7"", 220 lbs",9/25/2001 (21),Oklahoma St,"2021: Rd 1, Pk 1 (DET)",Game Time Decision,1st Season,"Arlington, TX"
3033,Philadelphia 76ers,Power Forward,"6' 5"", 245 lbs",5/5/1985 (38),Texas,"2006: Rd 2, Pk 35 (TOR)",Active,11th Season,"Raleigh, NC"
4277919,,Center,,5/12/1998,Texas,"2018: Rd 1, Pk 6 (ORL)",,,"Harlem, NY"
4396991,Utah Jazz,Shooting Guard,"6' 4"", 234 lbs",11/25/2000 (22),Iowa State,"2019: Rd 2, Pk 46 (ORL)",Active,3rd Season,"Chicago, IL"
4257,,Forward,,7/15/1991,Georgia Tech,"2010: Rd 1, Pk 3 (NJ)",,,"Atlanta, GA"
6581,Milwaukee Bucks,Power Forward,"6' 6"", 235 lbs",7/6/1990 (32),Marquette,"2012: Rd 2, Pk 34 (CLE)",Active,10th Season,"Villa Rica, GA"
4017837,LA Clippers,Center,"7' 0"", 240 lbs",3/18/1997 (26),,"2016: Rd 2, Pk 32 (LAL)",Active,6th Season,"Mostar, Bosnia & Herzegovina"
6429,Detroit Pistons,Shooting Guard,"6' 6"", 214 lbs",7/20/1991 (31),Colorado,"2011: Rd 1, Pk 12 (UTAH)",Game Time Decision,11th Season,"Grandview, MO"
2528779,Dallas Mavericks,Small Forward,"6' 6"", 205 lbs",3/16/1991 (32),North Carolina,"2013: Rd 1, Pk 25 (LAC)",Active,9th Season,"Baltimore, MD"
4433255,Oklahoma City Thunder,Power Forward,"7' 1"", 195 lbs",5/1/2002 (21),Gonzaga,"2022: Rd 1, Pk 2 (OKC)",Game Time Decision,Rookie,"Minneapolis, MN"
4065732,Atlanta Hawks,Small Forward,"6' 8"", 221 lbs",12/2/1997 (25),Virginia,"2019: Rd 1, Pk 4 (LAL)",Active,3rd Season,"Philadelphia, PA"
2580365,New Orleans Pelicans,Power Forward,"6' 8"", 245 lbs",1/1/1993 (30),Wyoming,"2015: Rd 1, Pk 27 (LAL)",Active,7th Season,"Akron, OH"
4279888,Memphis Grizzlies,Point Guard,"6' 3"", 174 lbs",8/10/1999 (23),Murray St,"2019: Rd 1, Pk 2 (MEM)",Out,3rd Season,"Dalzell, SC"
4432808,Detroit Pistons,Center,"7' 0"", 240 lbs",3/31/2001 (22),Memphis,"2020: Rd 1, Pk 2 (GS)",Active,2nd Season,"Nashville, TN"
3914044,Washington Wizards,Shooting Guard,"6' 4"", 190 lbs",3/13/1997 (26),Wichita St,"2018: Rd 1, Pk 26 (PHI)",Active,4th Season,"Kansas City, MO"
4066262,Sacramento Kings,Shooting Guard,"6' 3"", 200 lbs",2/4/1998 (25),Kentucky,"2017: Rd 1, Pk 11 (CHA)",Active,5th Season,"Lepanto, AR"
4437244,Houston Rockets,Shooting Guard,"6' 4"", 186 lbs",2/9/2002 (21),,"2021: Rd 1, Pk 2 (HOU)",Active,2nd Season,"Merced, CA"
3134908,Toronto Raptors,Center,"7' 1"", 245 lbs",10/15/1995 (27),Utah,"2016: Rd 1, Pk 9 (TOR)",Active,6th Season,"Vienna, Austria"
3032978,Oklahoma City Thunder,Power Forward,"6' 10"", 225 lbs",4/8/1994 (29),,"2014: Rd 1, Pk 12 (ORL)",Active,5th Season,"Sibenik, Croatia"
2991280,,Center,,4/10/1994,Kentucky,"2013: Rd 1, Pk 6 (NO)",,,"Malden, MA"
2583632,Brooklyn Nets,Power Forward,"6' 6"", 226 lbs",6/5/1993 (30),Baylor,,Active,5th Season,"Killeen, TX"
3059310,Washington Wizards,Point Guard,"6' 2"", 183 lbs",6/27/1995 (28),Iowa State,"2017: Rd 2, Pk 51 (DEN)",Active,5th Season,"Grand Rapids, MI"
2488653,LA Clippers,Center,"7' 0"", 254 lbs",3/5/1990 (33),Duke,"2013: Rd 1, Pk 22 (BKN)",Active,9th Season,"Fort Wayne, IN"
2991350,Chicago Bulls,Shooting Guard,"6' 5"", 186 lbs",2/28/1994 (29),Texas A&M,,Active,5th Season,"College Station, TX"
2960236,Dallas Mavericks,Power Forward,"6' 10"", 240 lbs",1/29/1992 (31),,,Active,5th Season,"Wurzburg, Germany"
